اسم المشروع,القطاع,رأس المال,تكلفة المبيعات,الإيرادات,التكلفة التشغيلية الشهرية,سعر المنتج او الخدمة,الطاقة الإنتاجية الشهرية,هامش الربح,نوع العميل,السوق المستهدف,قنوات التوزيع,حجم الطلب,عدد المنافسين,طرق التسويق,عدد العمال,نوع المعدات,الموقع,فترة الاسترداد,النتيجة_رقم,رأس المال_Scaled,الإيرادات_Scaled,تكلفة المبيعات_Scaled,نوع المشروع الدقيق_Encoded,Log_رأس_المال,Log_رأس_المال_Scaled,عدد العمال_Scaled,حجم الطلب_Scaled,عدد المنافسين_Scaled,Target_الجدوى,Target_فترة_الاسترداد
صيدلية متخصصة 16,صحة,5110000,494000,878000,136000,89000,155,0.2825,موظفون,قرب المستشفيات,اونلاين,مرتفع,12,تعاون أطباء,3,حاسوب,صنعاء,21,1,0.534578,0.536936,0.549279,10,15.44671,0.785628,0.142857,1.0,0.380952,1,21
عيادة مصغرة 17,صحة,2661000,211000,367000,115000,15000,173,0.1117,طلاب,محلي,مباشر,مرتفع,5,تعاون أطباء,11,أجهزة طبية,صنعاء,65,0,0.241565,0.187415,0.209135,6,14.794213,0.538507,0.714286,1.0,0.047619,0,65
خدمة تقنية 18,تقنية,4949000,351000,794000,123000,30000,405,0.403,شركات صغيرة,الأحياء التجارية,تطبيقات المراسلة,مرتفع,13,عروض افتتاح,6,سيرفر بسيط,صنعاء,15,1,0.515315,0.47948,0.377404,0,15.414696,0.773504,0.357143,1.0,0.428571,1,15
منصة تعليم 19,تعليم,1607000,120000,231000,51000,38000,473,0.2597,خريجون,طلاب الجامعات,مباشر,مرتفع,5,شراكات مدارس,7,سبورة ذكية,صنعاء,27,0,0.115458,0.094391,0.09976,11,14.28988,0.3475,0.428571,1.0,0.047619,0,27
دورات لغات 20,تعليم,1203000,70000,170000,36000,13000,430,0.3765,خريجون,محلي,مباشر,مرتفع,13,شراكات مدارس,6,حاسوب,صنعاء,19,1,0.067121,0.052668,0.039663,4,14.00033,0.237838,0.357143,1.0,0.428571,1,19
متجر إلكتروني 21,تقنية,7115000,383000,911000,173000,24000,255,0.3897,شركات صغيرة,الأحياء التجارية,مباشر,متوسط,9,إحالات,6,سيرفر بسيط,صنعاء,20,1,0.774468,0.559508,0.415865,5,15.777716,0.910991,0.357143,0.0,0.238095,1,20
خدمة تقنية 22,تقنية,1781000,116000,259000,36000,23000,590,0.4131,شركات صغيرة,طلاب الجامعات,تطبيقات المراسلة,مرتفع,8,سوشيال ميديا,8,حاسوب,صنعاء,17,1,0.136277,0.113543,0.094952,0,14.392686,0.386436,0.5,1.0,0.190476,1,17
متجر مستلزمات 23,تجارة,3955000,340000,673000,103000,3000,1102,0.3418,عائلات,أحياء سكنية,محل,مرتفع,24,عروض أسبوعية,4,رفوف,صنعاء,17,1,0.396387,0.396717,0.364183,3,15.190491,0.68859,0.214286,1.0,0.952381,1,17
متجر إلكتروني 24,تقنية,3428000,294000,527000,202000,24000,566,0.0588,طلاب,طلاب الجامعات,اونلاين,مرتفع,16,سوشيال ميديا,7,أجهزة شبكات,صنعاء,111,0,0.333333,0.296854,0.308894,5,15.047488,0.63443,0.428571,1.0,0.571429,0,111
عيادة مصغرة 25,صحة,7517000,705000,1292000,231000,66000,198,0.2755,عائلات,أحياء مكتظة,حجز هاتفي,مرتفع,4,سمعة وجودة,15,أجهزة طبية,صنعاء,21,1,0.822565,0.820109,0.802885,6,15.832678,0.931807,1.0,1.0,0.0,1,21
خدمة تقنية 26,تقنية,5358000,347000,771000,122000,32000,428,0.3917,شركات صغيرة,طلاب الجامعات,اونلاين,مرتفع,11,سوشيال ميديا,8,سيرفر بسيط,صنعاء,18,1,0.56425,0.463748,0.372596,0,15.494102,0.803577,0.5,1.0,0.333333,1,18
خدمة صيانة 27,خدمات,5316000,303000,723000,199000,25000,887,0.3057,طلاب,قرب الجامعات,مباشر,مرتفع,7,توصيات العملاء,6,حاسوب,صنعاء,24,1,0.559225,0.430917,0.319712,1,15.486232,0.800596,0.357143,1.0,0.142857,1,24
خدمة لوجستية 28,خدمات,5135000,414000,782000,255000,21000,147,0.1445,عائلات,الأحياء النشطة,مباشر,متوسط,15,توصيات العملاء,4,حاسوب,صنعاء,45,0,0.537569,0.471272,0.453125,1,15.451591,0.787477,0.214286,0.0,0.52381,0,45
مركز تدريبي 29,تعليم,3234000,237000,451000,136000,21000,475,0.1729,خريجون,محلي,اونلاين,مرتفع,12,إعلانات محلية,5,حاسوب,صنعاء,41,0,0.310122,0.24487,0.240385,7,14.989231,0.612366,0.285714,1.0,0.380952,0,41
منصة تعليم 30,تعليم,1790000,132000,261000,83000,22000,364,0.1762,خريجون,طلاب الجامعات,هجين,مرتفع,11,محتوى تعليمي,9,أجهزة عرض,صنعاء,39,0,0.137353,0.114911,0.114183,11,14.397727,0.388345,0.571429,1.0,0.333333,0,39
خدمة لوجستية 31,خدمات,2242000,203000,379000,105000,41000,209,0.1873,شركات صغيرة,محلي,اونلاين,مرتفع,6,سوشيال ميديا,4,معدات متنقلة,صنعاء,32,0,0.191433,0.195622,0.199519,1,14.622879,0.473617,0.214286,1.0,0.095238,0,32
بوفيه 32,تجارة,4923000,332000,704000,128000,31000,2193,0.3466,عائلات,محلي,اونلاين,مرتفع,23,عروض أسبوعية,2,ثلاجات,صنعاء,20,1,0.512204,0.417921,0.354567,8,15.409429,0.771509,0.071429,1.0,0.904762,1,20
خدمة طباعة 33,خدمات,1821000,150000,311000,95000,49000,572,0.2122,شركات صغيرة,الأحياء النشطة,واتساب,مرتفع,19,سوشيال ميديا,9,معدات متنقلة,صنعاء,28,0,0.141062,0.149111,0.135817,1,14.414897,0.394848,0.571429,1.0,0.714286,0,28
بقالة تخصصية 34,تجارة,5064000,336000,752000,151000,27000,1447,0.3524,عائلات,قرب الجامعات,توصيل,متوسط,19,لافتات,6,ثلاجات,صنعاء,19,1,0.529074,0.450752,0.359375,12,15.437667,0.782203,0.357143,0.0,0.714286,1,19
منصة تعليم 35,تعليم,4094000,218000,511000,145000,31000,107,0.2896,أولياء أمور,طلاب الجامعات,مباشر,مرتفع,9,إعلانات محلية,4,أجهزة عرض,صنعاء,28,0,0.413017,0.28591,0.217548,11,15.225033,0.701672,0.214286,1.0,0.238095,0,28
خدمة تقنية 36,تقنية,6597000,513000,1095000,133000,33000,307,0.41,شركات صغيرة,الأحياء التجارية,تطبيقات المراسلة,مرتفع,17,إحالات,4,أجهزة شبكات,صنعاء,15,1,0.712491,0.685363,0.572115,0,15.702126,0.882362,0.214286,1.0,0.619048,1,15
صيدلية متخصصة 37,صحة,3146000,186000,460000,105000,74000,321,0.3674,طلاب,قرب المستشفيات,مباشر,مرتفع,12,سمعة وجودة,13,حاسوب,صنعاء,19,1,0.299593,0.251026,0.179087,10,14.961643,0.601918,0.857143,1.0,0.380952,1,19
متجر إلكتروني 38,تقنية,1729000,140000,252000,47000,38000,222,0.2579,موظفون,طلاب الجامعات,مباشر,مرتفع,10,عروض افتتاح,4,حاسوب,صنعاء,27,0,0.130055,0.108755,0.123798,5,14.363054,0.375213,0.214286,1.0,0.285714,0,27
خدمة تقنية 39,تقنية,5919000,417000,729000,171000,62000,433,0.1934,طلاب,محلي,تطبيقات المراسلة,مرتفع,15,سوشيال ميديا,2,حاسوب,صنعاء,42,0,0.631371,0.435021,0.456731,0,15.593678,0.84129,0.071429,1.0,0.52381,0,42
مختبر تحاليل 40,صحة,6521000,441000,1003000,313000,40000,278,0.2483,عائلات,أحياء مكتظة,مباشر,مرتفع,14,تعاون أطباء,15,أجهزة طبية,صنعاء,26,0,0.703398,0.622435,0.485577,9,15.690538,0.877974,1.0,1.0,0.47619,0,26
خدمة صيانة 41,خدمات,3919000,328000,696000,190000,32000,763,0.2557,عائلات,الأحياء النشطة,واتساب,مرتفع,9,عروض باقات,2,معدات متنقلة,صنعاء,22,1,0.392079,0.412449,0.34976,1,15.181347,0.685127,0.071429,1.0,0.238095,1,22
مركز تدريبي 42,تعليم,2724000,179000,435000,125000,35000,425,0.3011,خريجون,طلاب المدارس,هجين,مرتفع,6,محتوى تعليمي,2,أجهزة عرض,صنعاء,21,1,0.249103,0.233926,0.170673,7,14.817612,0.547369,0.071429,1.0,0.095238,1,21
خدمة طباعة 43,خدمات,5331000,396000,726000,221000,26000,759,0.1501,طلاب,محلي,اونلاين,متوسط,14,سوشيال ميديا,8,معدات خدمية,صنعاء,49,0,0.561019,0.432969,0.43149,1,15.48905,0.801664,0.5,0.0,0.47619,0,49
خدمة لوجستية 44,خدمات,3591000,208000,513000,194000,27000,377,0.2164,شركات صغيرة,الأحياء النشطة,اونلاين,متوسط,9,توصيات العملاء,3,معدات خدمية,صنعاء,32,0,0.352836,0.287278,0.205529,1,15.093942,0.652024,0.142857,0.0,0.238095,0,32
متجر مستلزمات 45,تجارة,1379000,110000,225000,69000,23000,1380,0.2044,عائلات,أحياء سكنية,اونلاين,متوسط,21,لافتات,9,ثلاجات,صنعاء,30,0,0.088179,0.090287,0.08774,3,14.13687,0.28955,0.571429,0.0,0.809524,0,30
خدمة لوجستية 46,خدمات,2408000,170000,369000,144000,20000,659,0.1491,طلاب,الأحياء النشطة,مباشر,متوسط,9,سوشيال ميديا,9,معدات خدمية,صنعاء,44,0,0.211295,0.188782,0.159856,1,14.694308,0.500669,0.571429,0.0,0.238095,0,44
خدمة صيانة 47,خدمات,5259000,369000,849000,261000,38000,881,0.258,طلاب,محلي,اونلاين,متوسط,13,عروض باقات,5,حاسوب,صنعاء,24,1,0.552405,0.5171,0.399038,1,15.475452,0.796514,0.285714,0.0,0.428571,1,24
دورات لغات 48,تعليم,754000,51000,115000,44000,17000,477,0.1739,طلاب,طلاب الجامعات,هجين,مرتفع,12,إعلانات محلية,10,أجهزة عرض,صنعاء,38,0,0.0134,0.015048,0.016827,4,13.533149,0.060902,0.642857,1.0,0.380952,0,38
عيادة مصغرة 49,صحة,4055000,322000,722000,221000,76000,204,0.2479,عائلات,محلي,مباشر,مرتفع,5,تعاون أطباء,4,معدات تعقيم,صنعاء,23,1,0.408351,0.430233,0.342548,6,15.215461,0.698047,0.214286,1.0,0.047619,1,23
بوفيه 50,تجارة,1563000,132000,259000,81000,28000,1137,0.1776,موظفون,أحياء سكنية,توصيل,متوسط,23,عروض أسبوعية,5,نقاط بيع,صنعاء,34,0,0.110194,0.113543,0.114183,8,14.262118,0.336985,0.285714,0.0,0.904762,0,34
خدمة طباعة 51,خدمات,5305000,359000,668000,239000,35000,217,0.1048,طلاب,قرب الجامعات,اونلاين,متوسط,8,توصيات العملاء,5,معدات متنقلة,صنعاء,76,0,0.557909,0.393297,0.387019,1,15.484161,0.799812,0.285714,0.0,0.190476,0,76
مركز تدريبي 52,تعليم,824000,49000,113000,44000,30000,468,0.177,خريجون,طلاب الجامعات,اونلاين,مرتفع,14,محتوى تعليمي,3,حاسوب,صنعاء,41,0,0.021776,0.01368,0.014423,7,13.621927,0.094525,0.142857,1.0,0.47619,0,41
بقالة تخصصية 53,تجارة,5987000,419000,1015000,159000,22000,2113,0.4305,طلاب,قرب الجامعات,توصيل,مرتفع,24,عروض أسبوعية,6,ثلاجات,صنعاء,14,1,0.639507,0.630643,0.459135,12,15.605101,0.845616,0.357143,1.0,0.952381,1,14
خدمة لوجستية 54,خدمات,3246000,241000,475000,180000,32000,111,0.1137,شركات صغيرة,الأحياء النشطة,مباشر,مرتفع,8,توصيات العملاء,6,حاسوب,صنعاء,60,0,0.311558,0.261286,0.245192,1,14.992934,0.613769,0.357143,1.0,0.190476,0,60
متجر إلكتروني 55,تقنية,6008000,387000,784000,226000,26000,401,0.2181,طلاب,طلاب الجامعات,مباشر,مرتفع,14,عروض افتتاح,4,سيرفر بسيط,صنعاء,35,0,0.64202,0.47264,0.420673,5,15.608603,0.846942,0.214286,1.0,0.47619,0,35
مركز تدريب رقمي 56,تقنية,6604000,484000,923000,208000,64000,384,0.2503,موظفون,محلي,مباشر,متوسط,11,إحالات,5,حاسوب,صنعاء,29,0,0.713329,0.567715,0.53726,2,15.703186,0.882764,0.285714,0.0,0.333333,0,29
خدمة صيانة 57,خدمات,2864000,174000,353000,129000,33000,706,0.1416,عائلات,قرب الجامعات,واتساب,مرتفع,8,سوشيال ميديا,8,معدات خدمية,صنعاء,57,0,0.265853,0.177839,0.164663,1,14.86773,0.56635,0.5,1.0,0.190476,0,57
خدمة طباعة 58,خدمات,4517000,335000,734000,93000,9000,894,0.4169,طلاب,الأحياء النشطة,مباشر,مرتفع,19,سوشيال ميديا,7,معدات متنقلة,صنعاء,15,1,0.463628,0.43844,0.358173,1,15.323359,0.738911,0.428571,1.0,0.714286,1,15
خدمة لوجستية 59,خدمات,4057000,286000,588000,158000,30000,401,0.2449,طلاب,محلي,اونلاين,مرتفع,19,سوشيال ميديا,8,حاسوب,صنعاء,28,0,0.408591,0.338577,0.299279,1,15.215955,0.698234,0.5,1.0,0.714286,0,28
مركز تدريبي 60,تعليم,3818000,237000,523000,166000,24000,142,0.2294,خريجون,محلي,اونلاين,متوسط,11,إعلانات محلية,12,أجهزة عرض,صنعاء,32,0,0.379995,0.294118,0.240385,7,15.155238,0.675238,0.785714,0.0,0.333333,0,32
متجر مستلزمات 61,تجارة,4102000,297000,550000,89000,25000,2085,0.2982,موظفون,محلي,توصيل,مرتفع,15,لافتات,9,رفوف,صنعاء,25,0,0.413975,0.312585,0.3125,3,15.226985,0.702411,0.571429,1.0,0.52381,0,25
خدمة لوجستية 62,خدمات,2227000,155000,281000,53000,6000,207,0.2598,طلاب,قرب الجامعات,اونلاين,مرتفع,18,سوشيال ميديا,8,معدات متنقلة,صنعاء,31,0,0.189639,0.128591,0.141827,1,14.616166,0.471075,0.5,1.0,0.666667,0,31
صيدلية متخصصة 63,صحة,6374000,604000,1091000,347000,86000,286,0.1283,طلاب,محلي,اونلاين,مرتفع,13,توعية صحية,9,أجهزة طبية,صنعاء,46,0,0.68581,0.682627,0.68149,10,15.667738,0.869339,0.571429,1.0,0.428571,0,46
دورات لغات 64,تعليم,4490000,354000,740000,107000,31000,122,0.377,طلاب,طلاب الجامعات,اونلاين,متوسط,7,محتوى تعليمي,12,أجهزة عرض,صنعاء,16,1,0.460397,0.442544,0.38101,4,15.317363,0.736641,0.785714,0.0,0.142857,1,16
دورات لغات 65,تعليم,2337000,149000,315000,110000,13000,113,0.1778,طلاب,طلاب المدارس,هجين,مرتفع,15,محتوى تعليمي,4,سبورة ذكية,صنعاء,42,0,0.2028,0.151847,0.134615,4,14.664379,0.489334,0.214286,1.0,0.52381,0,42
دورات لغات 66,تعليم,2446000,220000,391000,94000,30000,146,0.1969,خريجون,طلاب المدارس,هجين,متوسط,10,إعلانات محلية,6,حاسوب,صنعاء,32,0,0.215841,0.20383,0.219952,4,14.709965,0.506599,0.357143,0.0,0.285714,0,32
صيدلية متخصصة 67,صحة,7840000,486000,1035000,308000,41000,189,0.2329,عائلات,قرب المستشفيات,حجز هاتفي,مرتفع,7,سمعة وجودة,6,أجهزة طبية,صنعاء,33,0,0.861211,0.644323,0.539663,10,15.87475,0.94774,0.357143,1.0,0.142857,0,33
مركز تدريب رقمي 68,تقنية,6937000,629000,1143000,389000,63000,411,0.1094,شركات صغيرة,طلاب الجامعات,تطبيقات المراسلة,مرتفع,10,إحالات,8,أجهزة شبكات,صنعاء,55,0,0.753171,0.718194,0.711538,2,15.75238,0.901395,0.5,1.0,0.285714,0,55
بوفيه 69,تجارة,4418000,398000,770000,143000,3000,1103,0.2974,طلاب,قرب الجامعات,توصيل,مرتفع,10,لافتات,9,رفوف,صنعاء,19,1,0.451783,0.463064,0.433894,8,15.301198,0.730518,0.571429,1.0,0.285714,1,19
خدمة صيانة 70,خدمات,4895000,341000,695000,151000,17000,758,0.2921,شركات صغيرة,قرب الجامعات,مباشر,مرتفع,12,سوشيال ميديا,3,معدات خدمية,صنعاء,24,1,0.508854,0.411765,0.365385,1,15.403725,0.769348,0.142857,1.0,0.380952,1,24
بقالة تخصصية 71,تجارة,5717000,538000,934000,336000,14000,2040,0.0642,طلاب,أحياء سكنية,اونلاين,مرتفع,8,عروض أسبوعية,10,نقاط بيع,صنعاء,95,0,0.607203,0.575239,0.602163,12,15.558955,0.828139,0.642857,1.0,0.190476,0,95
خدمة لوجستية 72,خدمات,2467000,183000,391000,116000,6000,806,0.2353,طلاب,الأحياء النشطة,مباشر,مرتفع,13,توصيات العملاء,8,حاسوب,صنعاء,27,0,0.218354,0.20383,0.175481,1,14.718514,0.509837,0.5,1.0,0.428571,0,27
دورات لغات 73,تعليم,3167000,164000,402000,68000,12000,179,0.4229,أولياء أمور,محلي,هجين,مرتفع,11,شراكات مدارس,9,حاسوب,صنعاء,19,1,0.302106,0.211354,0.152644,4,14.968296,0.604437,0.571429,1.0,0.333333,1,19
خدمة صيانة 74,خدمات,4237000,260000,548000,102000,33000,851,0.3394,طلاب,قرب الجامعات,اونلاين,مرتفع,9,عروض باقات,8,حاسوب,صنعاء,23,1,0.430127,0.311218,0.268029,1,15.259366,0.714675,0.5,1.0,0.238095,1,23
مركز تدريبي 75,تعليم,2769000,230000,495000,99000,39000,479,0.3354,طلاب,محلي,هجين,متوسط,14,شراكات مدارس,5,سبورة ذكية,صنعاء,17,1,0.254487,0.274966,0.231971,7,14.833997,0.553574,0.285714,0.0,0.47619,1,17
مركز تدريبي 76,تعليم,1626000,104000,207000,37000,15000,171,0.3188,طلاب,محلي,مباشر,متوسط,15,إعلانات محلية,10,سبورة ذكية,صنعاء,25,0,0.117732,0.077975,0.080529,7,14.301634,0.351951,0.642857,0.0,0.52381,0,25
خدمة لوجستية 77,خدمات,1828000,124000,238000,38000,21000,729,0.3193,عائلات,محلي,مباشر,متوسط,14,توصيات العملاء,1,حاسوب,صنعاء,24,1,0.1419,0.099179,0.104567,1,14.418734,0.396301,0.0,0.0,0.47619,1,24
خدمة تقنية 78,تقنية,5898000,473000,876000,239000,42000,226,0.1872,شركات صغيرة,الأحياء التجارية,مباشر,مرتفع,13,عروض افتتاح,2,أجهزة شبكات,صنعاء,36,0,0.628859,0.535568,0.524038,0,15.590124,0.839944,0.071429,1.0,0.428571,0,36
مركز تدريب رقمي 79,تقنية,7491000,610000,1280000,182000,70000,155,0.3812,طلاب,محلي,مباشر,مرتفع,7,إحالات,7,أجهزة شبكات,صنعاء,15,1,0.819454,0.811902,0.688702,2,15.829213,0.930494,0.428571,1.0,0.142857,1,15
خدمة طباعة 80,خدمات,4090000,296000,584000,130000,32000,170,0.2705,شركات صغيرة,الأحياء النشطة,واتساب,مرتفع,16,عروض باقات,9,حاسوب,صنعاء,26,0,0.412539,0.335841,0.311298,1,15.224056,0.701302,0.571429,1.0,0.571429,0,26
بقالة تخصصية 81,تجارة,3217000,258000,546000,158000,16000,1763,0.2381,طلاب,محلي,محل,متوسط,14,لافتات,7,رفوف,صنعاء,25,0,0.308088,0.30985,0.265625,12,14.98396,0.61037,0.428571,0.0,0.47619,0,25
متجر إلكتروني 82,تقنية,5891000,355000,839000,132000,49000,442,0.4195,موظفون,الأحياء التجارية,اونلاين,مرتفع,11,عروض افتتاح,6,أجهزة شبكات,صنعاء,17,1,0.628021,0.51026,0.382212,5,15.588936,0.839494,0.357143,1.0,0.333333,1,17
منصة تعليم 83,تعليم,1094000,71000,165000,43000,19000,314,0.3091,طلاب,طلاب المدارس,هجين,متوسط,6,شراكات مدارس,3,حاسوب,صنعاء,21,1,0.05408,0.049248,0.040865,11,13.905352,0.201867,0.142857,0.0,0.095238,1,21
خدمة صيانة 84,خدمات,729000,70000,128000,22000,17000,708,0.2812,طلاب,محلي,واتساب,مرتفع,19,توصيات العملاء,3,حاسوب,صنعاء,20,1,0.010409,0.02394,0.039663,1,13.49943,0.048131,0.142857,1.0,0.714286,1,20
بوفيه 85,تجارة,5049000,375000,900000,208000,16000,1050,0.3522,موظفون,قرب الجامعات,محل,مرتفع,14,لافتات,8,رفوف,صنعاء,16,1,0.527279,0.551984,0.40625,8,15.434701,0.78108,0.5,1.0,0.47619,1,16
خدمة طباعة 86,خدمات,844000,50000,105000,31000,24000,265,0.2286,طلاب,قرب الجامعات,واتساب,متوسط,13,توصيات العملاء,8,معدات متنقلة,صنعاء,35,0,0.024168,0.008208,0.015625,1,13.645909,0.103607,0.5,0.0,0.428571,0,35
خدمة لوجستية 87,خدمات,3869000,224000,475000,170000,14000,856,0.1705,عائلات,قرب الجامعات,مباشر,مرتفع,17,عروض باقات,1,حاسوب,صنعاء,48,0,0.386097,0.261286,0.22476,1,15.168507,0.680264,0.0,1.0,0.619048,0,48
مختبر تحاليل 88,صحة,2818000,212000,402000,113000,74000,86,0.1915,عائلات,أحياء مكتظة,مباشر,متوسط,13,سمعة وجودة,13,حاسوب,صنعاء,37,0,0.260349,0.211354,0.210337,9,14.851538,0.560218,0.857143,0.0,0.428571,0,37
خدمة طباعة 89,خدمات,2582000,185000,409000,93000,13000,858,0.3203,عائلات,محلي,اونلاين,مرتفع,12,عروض باقات,6,معدات خدمية,صنعاء,20,1,0.232113,0.216142,0.177885,1,14.764075,0.527093,0.357143,1.0,0.380952,1,20
خدمة لوجستية 90,خدمات,2562000,174000,320000,126000,20000,226,0.0625,شركات صغيرة,محلي,اونلاين,متوسط,13,سوشيال ميديا,4,معدات متنقلة,صنعاء,128,0,0.22972,0.155267,0.164663,1,14.756299,0.524148,0.214286,0.0,0.428571,0,128
متجر مستلزمات 91,تجارة,2223000,125000,286000,98000,8000,2000,0.2203,موظفون,أحياء سكنية,اونلاين,مرتفع,16,عروض أسبوعية,3,نقاط بيع,صنعاء,35,0,0.18916,0.132011,0.105769,3,14.614369,0.470394,0.142857,1.0,0.571429,0,35
خدمة صيانة 92,خدمات,2184000,178000,389000,82000,25000,335,0.3316,شركات صغيرة,محلي,اونلاين,متوسط,9,سوشيال ميديا,8,حاسوب,صنعاء,17,1,0.184494,0.202462,0.169471,1,14.596669,0.463691,0.5,0.0,0.238095,1,17
خدمة تقنية 93,تقنية,3523000,249000,483000,208000,52000,363,0.0538,شركات صغيرة,محلي,مباشر,مرتفع,12,إحالات,2,أجهزة شبكات,صنعاء,136,0,0.3447,0.266758,0.254808,0,15.074824,0.644783,0.071429,1.0,0.380952,0,136
منصة تعليم 94,تعليم,2999000,258000,450000,114000,39000,115,0.1733,خريجون,طلاب المدارس,اونلاين,متوسط,12,شراكات مدارس,7,حاسوب,صنعاء,38,0,0.282005,0.244186,0.265625,11,14.91379,0.583794,0.428571,0.0,0.380952,0,38
متجر مستلزمات 95,تجارة,2938000,241000,514000,150000,28000,1724,0.2393,موظفون,أحياء سكنية,توصيل,متوسط,9,سوشيال ميديا,2,نقاط بيع,صنعاء,24,1,0.274707,0.287962,0.245192,3,14.89324,0.576011,0.071429,0.0,0.238095,1,24
خدمة لوجستية 96,خدمات,4879000,345000,683000,125000,19000,621,0.3119,شركات صغيرة,محلي,اونلاين,متوسط,15,توصيات العملاء,6,حاسوب,صنعاء,23,1,0.506939,0.403557,0.370192,1,15.400451,0.768108,0.357143,0.0,0.52381,1,23
