اسم المشروع,القطاع,رأس المال,تكلفة المبيعات,الإيرادات,التكلفة التشغيلية الشهرية,سعر المنتج او الخدمة,الطاقة الإنتاجية الشهرية,هامش الربح,نوع العميل,السوق المستهدف,قنوات التوزيع,حجم الطلب,عدد المنافسين,طرق التسويق,عدد العمال,نوع المعدات,الموقع,فترة الاسترداد,النتيجة_رقم,رأس المال_Scaled,الإيرادات_Scaled,تكلفة المبيعات_Scaled,نوع المشروع الدقيق_Encoded,Log_رأس_المال,Log_رأس_المال_Scaled,عدد العمال_Scaled,حجم الطلب_Scaled,عدد المنافسين_Scaled,Target_الجدوى,Target_فترة_الاسترداد
بسطة,تجاري,4865825,0.68,7081312,401274,متنوع حسب الصنف,حسب الطلب اليومي,0.32,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, وسائل التواصل الاجتماعي",,1,"لوحات إعلانية, عروض ترويجية",3,"أرفف، نظام محاسبي، ثلاجات",تعز,25.8,1,0.1314,0.0832,0.5614,66,15.3977,0.3927,0.25,,0,1,25.8
بطاريات,تجاري,8719965,0.8,20562979,1370865,متنوع حسب الصنف,حسب الطلب اليومي,0.2,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, تطبيقات التوصيل",,1,"التسويق الشفهي, عروض ترويجية",3,"أرفف، نظام محاسبي، ثلاجات",تعز,25.4,1,0.2882,0.3154,0.7719,67,15.9811,0.6031,0.25,,0,1,25.4
بقالة,تجاري,9993265,0.81,24159493,1630766,متنوع حسب الصنف,حسب الطلب اليومي,0.19,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, البيع المباشر",3,2,"لوحات إعلانية, فيسبوك وواتساب",1,"أرفف، نظام محاسبي، ثلاجات",حضرموت,26.1,0,0.3401,0.3773,0.7895,68,16.1174,0.6523,0,1,0.5,0,26.1
بقالة ومركز اتصالات,تجاري,4360785,0.77,8496748,545208,متنوع حسب الصنف,حسب الطلب اليومي,0.23,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تطبيقات التوصيل",,2,"فيسبوك وواتساب, عروض ترويجية",2,"أرفف، نظام محاسبي، ثلاجات",حضرموت,26.8,1,0.1108,0.1075,0.7193,69,15.2882,0.3532,0.125,,0.5,1,26.8
بنشر وتغيير زيوت,خدمي,6013400,0.93,12028210,932186,حسب نوع الخدمة,حسب الطلب اليومي,0.07,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تطبيقات التوصيل",2,2,"عروض ترويجية, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,85.7,0,0.1781,0.1684,1,149,15.6095,0.4691,0.25,0,0.5,0,85.7
بهارات وعطارة,تجاري,3887310,0.77,6319319,405490,متنوع حسب الصنف,حسب الطلب اليومي,0.23,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, تجار التجزئة",3,3,"لوحات إعلانية, فيسبوك وواتساب",3,"أرفف، نظام محاسبي، ثلاجات",إب,32.1,1,0.0916,0.07,0.7193,70,15.1732,0.3118,0.25,1,1,1,32.1
بوفية,خدمي,2050655,0.69,4562070,262319,حسب نوع الخدمة,حسب الطلب اليومي,0.31,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تطبيقات التوصيل",3,2,"التسويق الشفهي, لوحات إعلانية",1,"أدوات مكتبية، أجهزة كمبيوتر",إب,17.4,1,0.0168,0.0398,0.5789,150,14.5337,0.0811,0,1,0.5,1,17.4
بيع جوالات,تجاري,2774510,0.83,6926833,479106,متنوع حسب الصنف,حسب الطلب اليومي,0.17,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, البيع المباشر",3,3,"عروض ترويجية, التسويق الشفهي",3,"أرفف، نظام محاسبي، ثلاجات",صنعاء,28.3,0,0.0463,0.0805,0.8246,71,14.836,0.1901,0.25,1,1,0,28.3
تاجر خردة,تجاري,7986480,0.8,12556280,837085,متنوع حسب الصنف,حسب الطلب اليومي,0.2,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تجار التجزئة",,1,"فيسبوك وواتساب, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",تعز,38.2,1,0.2584,0.1775,0.7719,72,15.8933,0.5714,0.25,,0,1,38.2
تأجير عقارات,خدمي,3200905,0.77,7426112,476509,حسب نوع الخدمة,حسب الطلب اليومي,0.23,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, البيع المباشر",,1,"التسويق الشفهي, فيسبوك وواتساب",1,"أدوات مكتبية، أجهزة كمبيوتر",تعز,22.5,1,0.0636,0.0891,0.7193,151,14.9789,0.2417,0,,0,1,22.5
تطريز,إنتاجي,23527695,0.77,57178511,3668954,سعر السوق المنافس,943 وحدة/كيلو,0.23,مختلط,"تجار التجزئة، البقالات، المطاعم","تطبيقات التوصيل, وسائل التواصل الاجتماعي",,3,"التسويق الشفهي, فيسبوك وواتساب",7,"آلات تصنيع، أدوات تغليف",إب,21.5,1,0.8909,0.946,0.7193,124,16.9737,0.9611,0.75,,1,1,21.5
تمريض,خدمي,6338680,0.46,14890325,570796,حسب نوع الخدمة,حسب الطلب اليومي,0.54,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تجار التجزئة",3,3,"عروض ترويجية, فيسبوك وواتساب",3,"أدوات مكتبية، أجهزة كمبيوتر",صنعاء,9.5,1,0.1913,0.2177,0.1754,152,15.6622,0.4881,0.25,1,1,1,9.5
توزيع ادويه ومستلزمات,خدمي,3711830,0.66,8931598,491238,حسب نوع الخدمة,حسب الطلب اليومي,0.34,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تجار التجزئة",,3,"التسويق الشفهي, عروض ترويجية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,14.7,1,0.0844,0.115,0.5263,153,15.127,0.2951,0.25,,1,1,14.7
جزارة,تجاري,7549385,0.79,11690709,769638,متنوع حسب الصنف,حسب الطلب اليومي,0.21,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, تجار التجزئة",2,2,"فيسبوك وواتساب, التسويق الشفهي",3,"أرفف، نظام محاسبي، ثلاجات",تعز,36.9,1,0.2406,0.1626,0.7544,73,15.837,0.5511,0.25,0,0.5,1,36.9
خدمات عامة,خدمي,5489635,0.36,7507109,225213,حسب نوع الخدمة,حسب الطلب اليومي,0.64,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تجار التجزئة",2,2,"فيسبوك وواتساب, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",عدن,13.7,1,0.1568,0.0905,0,154,15.5184,0.4362,0.25,0,0.5,1,13.7
خضروات,تجاري,10087960,0.67,18956276,1058392,متنوع حسب الصنف,حسب الطلب اليومي,0.33,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, البيع المباشر",,1,"فيسبوك وواتساب, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",صنعاء,19.4,1,0.3439,0.2877,0.5439,74,16.1269,0.6557,0.25,,0,1,19.4
خياطة,تجاري,2868135,0.58,4650958,224796,متنوع حسب الصنف,حسب الطلب اليومي,0.42,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, البيع المباشر",2,1,"فيسبوك وواتساب, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",تعز,17.6,1,0.0501,0.0413,0.386,75,14.8692,0.2021,0.125,0,0,1,17.6
خياطة نسائية,إنتاجي,25577280,0.72,33976252,2038575,سعر السوق المنافس,4192 وحدة/كيلو,0.28,مختلط,"تجار التجزئة، البقالات، المطاعم","وسائل التواصل الاجتماعي, البيع المباشر",3,2,"التسويق الشفهي, فيسبوك وواتساب",3,"آلات تصنيع، أدوات تغليف",صنعاء,32.3,1,0.9743,0.5464,0.6316,125,17.0572,0.9912,0.25,1,0.5,1,32.3
دباب غاز,خدمي,5149910,0.79,8234537,542107,حسب نوع الخدمة,حسب الطلب اليومي,0.21,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, وسائل التواصل الاجتماعي",2,1,"لوحات إعلانية, التسويق الشفهي",2,"أدوات مكتبية، أجهزة كمبيوتر",تعز,35.7,1,0.1429,0.103,0.7544,155,15.4545,0.4132,0.125,0,0,1,35.7
دجاج,تجاري,4892575,0.73,10964601,667013,متنوع حسب الصنف,حسب الطلب اليومي,0.27,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تطبيقات التوصيل",2,3,"التسويق الشفهي, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",إب,19.8,1,0.1325,0.1501,0.6491,76,15.4032,0.3947,0.25,0,1,1,19.8
دعاية واعلان,خدمي,2391450,0.85,4366374,309285,حسب نوع الخدمة,حسب الطلب اليومي,0.15,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تطبيقات التوصيل",,1,"التسويق الشفهي, لوحات إعلانية",2,"أدوات مكتبية، أجهزة كمبيوتر",عدن,43.8,0,0.0307,0.0364,0.8596,156,14.6874,0.1366,0.125,,0,0,43.8
دكان,تجاري,6650585,0.81,10598083,715371,متنوع حسب الصنف,حسب الطلب اليومي,0.19,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تجار التجزئة",2,1,"التسويق الشفهي, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",حضرموت,39.6,0,0.204,0.1437,0.7895,77,15.7102,0.5054,0.25,0,0,0,39.6
دلال,تجاري,7798160,0.74,17569999,1083483,متنوع حسب الصنف,حسب الطلب اليومي,0.26,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, وسائل التواصل الاجتماعي",3,2,"عروض ترويجية, فيسبوك وواتساب",1,"أرفف، نظام محاسبي، ثلاجات",تعز,20.5,1,0.2507,0.2638,0.6667,78,15.8694,0.5628,0,1,0.5,1,20.5
رعي اغنام,زراعي,9335215,0.79,22484725,1480244,سعر السوق المنافس,1778 وحدة/كيلو,0.21,تجار جملة ومصانع (B2B),"أسواق الخضروات، تجار الجملة، المصانع الغذائية","البيع المباشر, تطبيقات التوصيل",3,2,"التسويق الشفهي, فيسبوك وواتساب",4,معدات متخصصة,تعز,23.7,1,0.3133,0.3485,0.7544,213,16.0493,0.6277,0.375,1,0.5,1,23.7
ساعات,تجاري,8301060,0.63,18232412,957202,متنوع حسب الصنف,حسب الطلب اليومي,0.37,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, وسائل التواصل الاجتماعي",,2,"التسويق الشفهي, عروض ترويجية",2,"أرفف، نظام محاسبي، ثلاجات",إب,14.8,1,0.2712,0.2752,0.4737,79,15.9319,0.5854,0.125,,0.5,1,14.8
سائق موتور سيكل,خدمي,1637635,0.8,2252755,150184,حسب نوع الخدمة,حسب الطلب اليومي,0.2,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تطبيقات التوصيل",2,2,"عروض ترويجية, التسويق الشفهي",1,"أدوات مكتبية، أجهزة كمبيوتر",إب,43.6,1,0,0,0.7719,157,14.3088,0,0,0,0.5,1,43.6
سيارة أجرة,خدمي,7439710,0.78,10579906,687694,حسب نوع الخدمة,حسب الطلب اليومي,0.22,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تطبيقات التوصيل",3,1,"فيسبوك وواتساب, عروض ترويجية",3,"أدوات مكتبية، أجهزة كمبيوتر",إب,38.4,1,0.2361,0.1434,0.7368,158,15.8223,0.5459,0.25,1,0,1,38.4
صنع بخور,إنتاجي,8723710,0.84,11607664,812536,سعر السوق المنافس,2178 وحدة/كيلو,0.16,مختلط,"تجار التجزئة، البقالات، المطاعم","تطبيقات التوصيل, وسائل التواصل الاجتماعي",2,1,"لوحات إعلانية, فيسبوك وواتساب",9,"آلات تصنيع، أدوات تغليف",حضرموت,56.4,0,0.2884,0.1611,0.8421,126,15.9816,0.6033,1,0,0,0,56.4
صيد السمك,زراعي,9429910,0.7,15188442,885992,سعر السوق المنافس,2525 وحدة/كيلو,0.3,تجار جملة ومصانع (B2B),"أسواق الخضروات، تجار الجملة، المصانع الغذائية","تطبيقات التوصيل, البيع المباشر",2,3,"عروض ترويجية, فيسبوك وواتساب",2,معدات متخصصة,حضرموت,24.8,3,0.3171,0.2228,0.5965,214,16.0594,0.6314,0.125,0,1,3,24.8
صيدلية,تجاري,3957930,0.69,9174408,527528,متنوع حسب الصنف,حسب الطلب اليومي,0.31,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تطبيقات التوصيل",2,1,"عروض ترويجية, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",إب,16.7,1,0.0944,0.1192,0.5789,80,15.1912,0.3183,0.125,0,0,1,16.7
طاحون,خدمي,2708705,0.72,6699539,401972,حسب نوع الخدمة,حسب الطلب اليومي,0.28,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, وسائل التواصل الاجتماعي",2,1,"فيسبوك وواتساب, التسويق الشفهي",2,"أدوات مكتبية، أجهزة كمبيوتر",إب,17.3,1,0.0436,0.0766,0.6316,159,14.812,0.1815,0.125,0,0,1,17.3
عسل,تجاري,4048880,0.71,6105736,361256,متنوع حسب الصنف,حسب الطلب اليومي,0.29,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, البيع المباشر",2,3,"التسويق الشفهي, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",تعز,27.4,1,0.0981,0.0664,0.614,81,15.214,0.3264,0.25,0,1,1,27.4
عطورات وأدوات تجميل,تجاري,6667170,0.67,16409467,916195,متنوع حسب الصنف,حسب الطلب اليومي,0.33,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, البيع المباشر",,1,"فيسبوك وواتساب, عروض ترويجية",2,"أرفف، نظام محاسبي، ثلاجات",صنعاء,14.8,1,0.2047,0.2438,0.5439,82,15.7127,0.5063,0.125,,0,1,14.8
قطع غيار,تجاري,3827390,0.64,5484394,292501,متنوع حسب الصنف,حسب الطلب اليومي,0.36,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, وسائل التواصل الاجتماعي",3,3,"لوحات إعلانية, فيسبوك وواتساب",2,"أرفف، نظام محاسبي، ثلاجات",إب,23.3,1,0.0891,0.0557,0.4912,83,15.1577,0.3062,0.125,1,1,1,23.3
كروت اتصالات,تجاري,5581120,0.8,8327986,555199,متنوع حسب الصنف,حسب الطلب اليومي,0.2,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, البيع المباشر",3,3,"لوحات إعلانية, فيسبوك وواتساب",1,"أرفف، نظام محاسبي، ثلاجات",تعز,40.2,1,0.1605,0.1046,0.7719,84,15.5349,0.4422,0,1,1,1,40.2
كوافير,خدمي,3130820,0.74,5993828,369619,حسب نوع الخدمة,حسب الطلب اليومي,0.26,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, تجار التجزئة",2,3,"التسويق الشفهي, عروض ترويجية",3,"أدوات مكتبية، أجهزة كمبيوتر",إب,24.1,1,0.0608,0.0644,0.6667,160,14.9568,0.2337,0.25,0,1,1,24.1
محل اعراس,خدمي,4220080,0.38,8465294,268068,حسب نوع الخدمة,حسب الطلب اليومي,0.62,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, البيع المباشر",3,1,"فيسبوك وواتساب, عروض ترويجية",2,"أدوات مكتبية، أجهزة كمبيوتر",إب,9.6,1,0.1051,0.107,0.0351,162,15.2554,0.3414,0.125,1,0,1,9.6
محل تصوير,خدمي,3583965,0.59,6912024,339841,حسب نوع الخدمة,حسب الطلب اليومي,0.41,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, البيع المباشر",,2,"التسويق الشفهي, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,15.2,1,0.0792,0.0803,0.4035,163,15.092,0.2825,0.25,,0.5,1,15.2
مخبز,إنتاجي,15422445,0.58,37915535,1832584,سعر السوق المنافس,2214 وحدة/كيلو,0.42,مختلط,"تجار التجزئة، البقالات، المطاعم","تطبيقات التوصيل, تجار التجزئة",2,1,"عروض ترويجية, لوحات إعلانية",8,"آلات تصنيع، أدوات تغليف",صنعاء,11.6,1,0.561,0.6143,0.386,128,16.5513,0.8088,0.875,0,0,1,11.6
مركز تدريب,خدمي,6730300,0.61,14637414,744069,حسب نوع الخدمة,حسب الطلب اليومي,0.39,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, البيع المباشر",2,2,"لوحات إعلانية, التسويق الشفهي",2,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,14.1,1,0.2073,0.2133,0.4386,164,15.7221,0.5097,0.125,0,0.5,1,14.1
"مركز طبي , عيادة",خدمي,3694710,0.43,7186349,257511,حسب نوع الخدمة,حسب الطلب اليومي,0.57,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تجار التجزئة",3,3,"عروض ترويجية, فيسبوك وواتساب",3,"أدوات مكتبية، أجهزة كمبيوتر",صنعاء,10.8,1,0.0837,0.085,0.1228,165,15.1224,0.2934,0.25,1,1,1,10.8
مستلزمات خياطة,تجاري,10244715,0.65,14710267,796806,متنوع حسب الصنف,حسب الطلب اليومي,0.35,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تجار التجزئة",3,2,"عروض ترويجية, التسويق الشفهي",1,"أرفف، نظام محاسبي، ثلاجات",عدن,23.9,1,0.3503,0.2146,0.5088,86,16.1423,0.6612,0,1,0.5,1,23.9
مصنع بلك,إنتاجي,10607980,0.76,13161349,833552,سعر السوق المنافس,2180 وحدة/كيلو,0.24,مختلط,"تجار التجزئة، البقالات، المطاعم","البيع المباشر, تطبيقات التوصيل",2,2,"لوحات إعلانية, فيسبوك وواتساب",7,"آلات تصنيع، أدوات تغليف",حضرموت,40.3,1,0.3651,0.1879,0.7018,129,16.1771,0.6738,0.75,0,0.5,1,40.3
مطابع,خدمي,7333780,0.75,10024556,626535,حسب نوع الخدمة,حسب الطلب اليومي,0.25,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تطبيقات التوصيل",,3,"عروض ترويجية, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,35.1,1,0.2318,0.1339,0.6842,166,15.808,0.5407,0.25,,1,1,35.1
مطعم,خدمي,4857265,0.61,8929159,453899,حسب نوع الخدمة,حسب الطلب اليومي,0.39,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, تجار التجزئة",3,3,"لوحات إعلانية, عروض ترويجية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,16.7,1,0.131,0.115,0.4386,167,15.396,0.3921,0.25,1,1,1,16.7
معصرة زيوت,إنتاجي,19021390,0.75,46001290,2875081,سعر السوق المنافس,1820 وحدة/كيلو,0.25,مختلط,"تجار التجزئة، البقالات، المطاعم","تجار التجزئة, وسائل التواصل الاجتماعي",2,2,"عروض ترويجية, فيسبوك وواتساب",9,"آلات تصنيع، أدوات تغليف",إب,19.8,1,0.7075,0.7535,0.6842,130,16.7611,0.8844,1,0,0.5,1,19.8
معمل صناعي,تجاري,6293205,0.47,8539112,334449,متنوع حسب الصنف,حسب الطلب اليومي,0.53,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, البيع المباشر",,3,"لوحات إعلانية, فيسبوك وواتساب",3,"أرفف، نظام محاسبي، ثلاجات",إب,16.7,1,0.1895,0.1083,0.193,87,15.655,0.4855,0.25,,1,1,16.7
مفروشات,إنتاجي,16235110,0.81,22190348,1497848,سعر السوق المنافس,4156 وحدة/كيلو,0.19,مختلط,"تجار التجزئة، البقالات، المطاعم","وسائل التواصل الاجتماعي, تجار التجزئة",2,1,"التسويق الشفهي, لوحات إعلانية",8,"آلات تصنيع، أدوات تغليف",إب,46.2,0,0.5941,0.3434,0.7895,131,16.6027,0.8273,0.875,0,0,0,46.2
مكتبة,تجاري,3679730,0.72,6493413,389605,متنوع حسب الصنف,حسب الطلب اليومي,0.28,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, وسائل التواصل الاجتماعي",2,3,"التسويق الشفهي, فيسبوك وواتساب",3,"أرفف، نظام محاسبي، ثلاجات",صنعاء,24.3,1,0.0831,0.073,0.6316,88,15.1184,0.292,0.25,0,1,1,24.3
مكتبة ومركز اتصالات,تجاري,9025450,0.68,18789858,1064759,متنوع حسب الصنف,حسب الطلب اليومي,0.32,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تطبيقات التوصيل",3,1,"فيسبوك وواتساب, لوحات إعلانية",2,"أرفف، نظام محاسبي، ثلاجات",تعز,18,1,0.3007,0.2848,0.5614,89,16.0156,0.6155,0.125,1,0,1,18
ملابس جاهزة,تجاري,2952665,0.64,7018529,374322,متنوع حسب الصنف,حسب الطلب اليومي,0.36,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تطبيقات التوصيل, البيع المباشر",3,2,"لوحات إعلانية, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",حضرموت,14,1,0.0535,0.0821,0.4912,90,14.8982,0.2126,0.125,1,0.5,1,14
مهند كمبيوتر,خدمي,2809285,0.79,6259062,412055,حسب نوع الخدمة,حسب الطلب اليومي,0.21,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","تجار التجزئة, تطبيقات التوصيل",3,3,"فيسبوك وواتساب, التسويق الشفهي",3,"أدوات مكتبية، أجهزة كمبيوتر",إب,25.6,1,0.0477,0.069,0.7544,168,14.8484,0.1946,0.25,1,1,1,25.6
مهندس أدوات كهربائية,خدمي,4519145,0.76,10423432,660151,حسب نوع الخدمة,حسب الطلب اليومي,0.24,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","البيع المباشر, تجار التجزئة",,2,"عروض ترويجية, لوحات إعلانية",1,"أدوات مكتبية، أجهزة كمبيوتر",عدن,21.7,1,0.1173,0.1407,0.7018,169,15.3238,0.3661,0,,0.5,1,21.7
مواد بناء,تجاري,7494280,0.81,10097454,681578,متنوع حسب الصنف,حسب الطلب اليومي,0.19,أفراد (B2C),"المستهلك النهائي، الأسر، الشباب","وسائل التواصل الاجتماعي, تطبيقات التوصيل",,3,"فيسبوك وواتساب, التسويق الشفهي",3,"أرفف، نظام محاسبي، ثلاجات",إب,46.9,0,0.2384,0.1351,0.7895,91,15.8297,0.5485,0.25,,1,0,46.9
